section_title,count
"10.3. КОНФИДЕНЦИАЛЬНАЯ ИНФОРМАЦИЯ МОЖЕТ БЫТЬ РАСКРЫТА ОДНОЙ СТОРОНОЙ:",3
"10.4. СТОРОНЫ МОГУТ ИСПОЛЬЗОВАТЬ КОНФИДЕНЦИАЛЬНУЮ ИНФОРМАЦИЮ ТОЛЬКО В ЦЕЛЯХ РЕАЛИЗАЦИИ НАСТОЯЩЕГО КОНТРАКТА, А ТАКЖЕ ОБЯЗАНЫ В ТЕЧЕНИЕ 5 (ПЯТИ) ЛЕТ СО ДНЯ ПОДПИСАНИЯ НАСТОЯЩЕГО КОНТРАКТА ПРИНИМАТЬ ВСЕ МЕРЫ И ИСПОЛЬЗОВАТЬ ВСЕ ЗАКОННЫЕ СРЕДСТВА ДЛЯ ЗАЩИТЫ КОНФИДЕНЦИАЛЬНОЙ ИНФОРМАЦИИ И ПРЕДОТВРАЩЕНИЯ ЕЕ НЕСАНКЦИОНИРОВАННОГО РАЗГЛАШЕНИЯ.",3
"11.7. IF THE CONTRACTOR UNDER THIS AGREEMENT ENCOUNTERS THE ACTIONS OF THE PURCHASER'S EMPLOYEES THAT ARE CONTRARY TO THE ANTI-CORRUPTION PROVISIONS OF THIS AGREEMENT AND / OR APPLICABLE LAW, INCLUDING THE FACTS OF COERCION TO COMMIT CORRUPTION VIOLATIONS, HE MUST REPORT THIS THROUGH ONE OF THE FOLLOWING COMMUNICATION CHANNELS:",3
"12. РАСТОРЖЕНИЕ КОНТРАКТА / 12.1. THE PURCHASER HAS THE RIGHT TO TERMINATE THIS CONTRACT IN WHOLE OR IN PART (AND FOR THIS HE IS NOT LIABLE TO THE SUPPLIER) IF THE SUPPLIER:",3
"12.2. IN CASE OF TERMINATION OF THE CONTRACT ON THE INITIATIVE OR FAULT OF THE SUPPLIER, THE LATTER, WITHIN 5 (FIVE) BUSINESS DAYS, RETURNS THE FULL AMOUNT OF THE PREPAYMENT TO THE PURCHASER AND PAYS THE PURCHASER A FINE IN THE AMOUNT OF SUCH AN AMOUNT.",3
"[SHOULD BE FILLED IN] / [НЕОБХОДИМО ЗАПОЛНИТЬ]",3
"УСЛОВИЯ ОПЛАТЫ",3
"4.2. IN ADDITION TO THE DOCUMENTATION SPECIFIED IN ARTICLE 4.1 OF THE PRESENT CONTRACT, THE SELLER SHALL PROVIDE THE FOLLOWING DOCUMENTS WITH SHIPPED GOODS:",3
"4.3. NOT SUBMISSION OF THE DOCUMENTS SHOWN IN THE PARAGRAPH 4.2 MAY DELAY THE PAYMENT TO THE SELLER WITH NO LIABILITY TO THE BUYER.",3
"5. THE TERMS OF SUPPLY / 5.1. THE SELLER SHALL DELIVER THE GOODS TO THE BUYER NOT LATER THAN THE DATES SPECIFIED IN THE ATTACHMENT #1. THE PARTIAL EARLIER SHIPMENT IS PERMITTED, UPON BUYER’S REQUEST.",3
"5.2. WITHIN 5 (FIVE) WORKING DAYS BEFORE SHIPMENT OF EACH PART OF THE GOODS THE SELLER SHALL PROVIDE THE BUYER WITH PRIOR NOTIFICATION OF SHIPMENT TERMS AND MUST SEND TO THE BUYER A COPY OF THE DOCUMENTS LISTED IN ARTICLE 4.2 VIA E-MAIL OR FAX.",3
"5.4. FOLLOWING SHALL BE SHOWN IN EVERY BATCH OF SHIPMENT:",3
"1. ОБОРУДОВАНИЕ:",3
"ПРИЛОЖЕНИЯ:",3
"1.3. КАЧЕСТВО ТОВАРА ДОЛЖНО СООТВЕТСТВОВАТЬ ТРЕБОВАНИЯМ СЛЕДУЮЩИХ НОРМАТИВНЫХ ДОКУМЕНТОВ:",3
"1.3. THE QUALITY OF THE GOODS MUST COMPLY WITH THE REQUIREMENTS OF GOST 28390-89 «PORCELAIN WARE. STANDARD SPECIFICATIONS» APP. BY THE DECREE OF USSR STATE COMMITTEE OF PRODUCE QUALITY CONTROL AND STANDARTIZATION AT 20.12.89 № 3915 (1ST QUALITY CATEGORY) AND ALSO GOST R 54394-2011 «BONE CHINA WARE. STANDARD SPECIFICATIONS», APP. BY THE ROSSTANDART ORDER NO. 275-ST OF 12.09.2011 (FOR BONE CHINA ITEMS ONLY).",3
"2.2. ЗАЯВКИ НА ПОСТАВКУ ТОВАРА ПОДАЮТСЯ ПОКУПАТЕЛЕМ ДО 5 ЧИСЛА КАЖДОГО МЕСЯЦА. ЗАЯВКИ ДОЛЖНЫ СОДЕРЖАТЬ ТОЧНЫЙ АССОРТИМЕНТ, КОЛИЧЕСТВО И ЦЕНУ ЗАКАЗЫВАЕМОГО ПОКУПАТЕЛЕМ ТОВАРА, ДОЛЖНЫ БЫТЬ ПОДПИСАНЫ ПОКУПАТЕЛЕМ И СКРЕПЛЕНЫ ЕГО ПЕЧАТЬЮ. НАПРАВЛЕНИЕ ПОДПИСАННОЙ ЗАЯВКИ ОЗНАЧАЕТ БЕЗУСЛОВНОЕ СОГЛАСИЕ ПОКУПАТЕЛЯ НА ПРИНЯТИЕ И ОПЛАТУ ТОВАРА, УКАЗАННОГО В ЗАЯВКЕ.",3
"2.2. THE BUYER SHALL SUBMIT APPLICATIONS FOR THE SUPPLY OF THE GOODS BEFORE THE 5TH DAY OF EACH MONTH. APPLICATIONS MUST CONTAIN THE EXACT RANGE, QUANTITY AND PRICE OF THE GOODS ORDERED BY THE BUYER, MUST BE SIGNED AND SEALED BY THE BUYER. SENDING THE SIGNED APPLICATION TO THE SELLER MEANS THE UNCONDITIONAL CONSENT OF THE BUYER TO ACCEPT AND PAY FOR THE GOODS SPECIFIED IN THE APPLICATION.",3
"2.3. ЕСЛИ ИНОЕ НЕ БУДЕТ СОГЛАСОВАНО СТОРОНАМИ В СПЕЦИФИКАЦИИ, СРОК ИЗГОТОВЛЕНИЯ И ПЕРЕДАЧИ ТОВАРА ОПРЕДЕЛЯЕТСЯ В СООТВЕТСТВИИ С ПРЕАМБУЛОЙ И ИСЧИСЛЯЕТСЯ С МОМЕНТА ПОДПИСАНИЯ СПЕЦИФИКАЦИИ. ПРИ ЭТОМ УСЛОВИЕМ ОТГРУЗКИ ТОВАРА ЯВЛЯЕТСЯ ОПЛАТА ПОКУПАТЕЛЕМ ТОВАРА.",3
"2.3. UNLESS OTHERWISE AGREED BY THE PARTIES IN THE SPECIFICATION, THE TERM OF PRODUCTION AND DELIVERY OF THE GOODS SHALL BE DETERMINED IN ACCORDANCE WITH THE PREAMBLE AND SHALL BE CALCULATED FROM THE DATE OF SIGNING THE SPECIFICATIONS. IN THIS CASE, THE CONDITION FOR THE SHIPMENT OF THE GOODS SHALL BE THE PAYMENT OF THE GOODS BY THE BUYER.",3
"2.4. THE SELLER SHALL INFORM THE BUYER ABOUT THE READINESS OF THE GOODS FOR SHIPMENT BY SENDING AN OFFICIAL NOTICE IN ELECTRONIC FORM ATTACHING AN INVOICE.",3
"2.7. ПРОДАВЕЦ ИМЕЕТ ПРАВО ИЗМЕНИТЬ ПРАЙС-ЛИСТ, УВЕДОМИВ О ВСТУПЛЕНИИ В СИЛУ НОВЫХ ЦЕН ПОКУПАТЕЛЯ ЗА 14 (ЧЕТЫРНАДЦАТЬ) КАЛЕНДАРНЫХ ДНЕЙ В ТОМ ЧИСЛЕ В СВЯЗИ С:",3
"2.7. THE SELLER SHALL HAVE THE RIGHT TO CHANGE THE PRICE LIST BY NOTIFYING THE BUYER OF THE NEW PRICES COMING INTO FORCE WITHIN 14 (FOURTEEN) CALENDAR DAYS, INCLUDING IN CONNECTION WITH:",3
"3.1.	ЦЕНА ТОВАРА ОПРЕДЕЛЯЕТСЯ СТОРОНАМИ В СПЕЦИФИКАЦИИ. ЦЕНА ТОВАРА ЯВЛЯЕТСЯ ТВЕРДОЙ И УКАЗЫВАЕТСЯ С УЧЕТОМ ПРЕДОСТАВЛЕНИЯ КЛИЕНТУ ВСЕХ СКИДОК. КЛИЕНТ НИ ПРИ КАКИХ ОБСТОЯТЕЛЬСТВАХ НЕ ВПРАВЕ ТРЕБОВАТЬ СНИЖЕНИЯ ЦЕНЫ ТОВАРА, УКАЗАННОЙ В ПОДПИСАННОЙ СТОРОНАМИ СПЕЦИФИКАЦИИ.",3
"4.1. НА КАЖДУЮ ОТГРУЖАЕМУЮ ПАРТИЮ ТОВАРА, ПРОДАВЕЦ ПРЕДОСТАВЛЯЕТ ПОКУПАТЕЛЮ СЛЕДУЮЩИЕ ДОКУМЕНТЫ:",3
"4.1. FOR EACH CONSIGNMENT OF GOODS TO BE SHIPPED, THE SELLER PROVIDES THE BUYER WITH THE FOLLOWING DOCUMENTS:",3
"5.1. THE TRANSFER OF THE DAMAGE RISK AND THE RISK OF ACCIDENTAL LOSS OF THE GOODS OCCURS IN ACCORDANCE WITH THE INCOTERMS 2010 RULES, WITH REGARD TO THE CONDITIONS (BASIS) OF DELIVERY AGREED IN THE PREAMBLE TO THE CONTRACT, UNLESS OTHERWISE AGREED BY THE PARTIES.",3
"7.2. THE PARTIES HAVE AGREED ON AN ACCEPTABLE DEFECT AND BREAKAGE FOR A CONSIGNMENT OF THE GOODS, WHICH ARE NOT SUBJECT TO REPLACEMENT OR OTHER COMPENSATION BY THE SELLER.",3
"7.7. В СЛУЧАЕ ПРИЗНАНИЯ ПРОДАВЦОМ ОБОСНОВАННОСТИ ПРЕТЕНЗИИ ПОКУПАТЕЛЯ, ПРОДАВЕЦ В ТЕЧЕНИЕ 30 (ТРИДЦАТИ) КАЛЕНДАРНЫХ ДНЕЙ ОБЯЗАН ПРОИЗВЕСТИ ДЕЙСТВИЯ ПО УДОВЛЕТВОРЕНИЮ ПРЕТЕНЗИИ ПОКУПАТЕЛЯ ОДНИМ ИЗ СЛЕДУЮЩИХ СПОСОБОВ:",3
"7.7. IN CASE THE SELLER ACKNOWLEDGES THE VALIDITY OF THE BUYER'S CLAIM, THE SELLER SHALL, WITHIN 30 (THIRTY) CALENDAR DAYS, PERFORM ACTIONS TO SATISFY THE BUYER'S CLAIM BY ONE OF THE FOLLOWING WAYS:",3
"7.8. НЕСООТВЕТСТВИЕ ТОВАРА ПО КОЛИЧЕСТВУ, БОЮ, КАЧЕСТВУ И АССОРТИМЕНТУ В ОБЪЕМЕ БОЛЕЕ ЧЕМ НА 5% ОТ СОГЛАСОВАННОГО КОЛИЧЕСТВА ТОВАРА, В ОБЯЗАТЕЛЬНОМ ПОРЯДКЕ ПОДТВЕРЖДАЕТСЯ АКТОМ, ЛИБО ИНЫМ ДОКУМЕНТОМ ТОРГОВО-ПРОМЫШЛЕННОЙ ПАЛАТЫ (ТПП) ГОСУДАРСТВА ПОКУПАТЕЛЯ.",3
"7.8. THE LACK OF CONFORMITY OF THE GOODS IN QUANTITY, BREAKAGE, QUALITY AND RANGE IN THE AMOUNT OF MORE THAN 5% OF THE AGREED QUANTITY OF THE GOODS SHALL BE NECESSARILY CONFIRMED BY AN ACT OR OTHER DOCUMENT OF THE CHAMBER OF COMMERCE AND INDUSTRY OF THE BUYER'S STATE.",3
"10.2.	СТОРОНЫ ПРИЗНАЮТ ЮРИДИЧЕСКУЮ СИЛУ СЛЕДУЮЩИХ ДОКУМЕНТОВ, ОТПРАВЛЕННЫХ ПОСРЕДСТВОМ ЭЛЕКТРОННОЙ ПОЧТЫ С СОГЛАСОВАННЫХ СТОРОНАМИ АДРЕСОВ (ДАЛЕЕ – «ЭЛЕКТРОННЫЙ ДОКУМЕНТ»):",3
"10.2. THE PARTIES ACKNOWLEDGE LEGAL FORCE OF THE FOLLOWING DOCUMENTS SENT FROM E-MAIL ADDRESSES AGREED UPON BY THE PARTIES (HEREINAFTER REFERRED TO AS THE ""ELECTRONIC DOCUMENT""):",3
"3.2. ПОСТАВЩИК ВПРАВЕ:",3
"3.4. ЗАКАЗЧИК ВПРАВЕ:",3
"ПРИЛОЖЕНИЕ № 3 К КОНТРАКТУ",3
"12.6. СТОРОНЫ ОБЯЗУЮТСЯ ОБЕСПЕЧИТЬ КОНФИДЕНЦИАЛЬНОСТЬ СВЕДЕНИЙ, ОТНОСЯЩИХСЯ К ПРЕДМЕТУ КОНТРАКТА, И СТАВШИХ ИМ ИЗВЕСТНЫМИ В ХОДЕ ИСПОЛНЕНИЯ КОНТРАКТА.",3
"6.1. ЗА НЕИСПОЛНЕНИЕ ИЛИ НЕНАДЛЕЖАЩЕЕ ИСПОЛНЕНИЕ КОНТРАКТА СТОРОНЫ НЕСУТ ОТВЕТСТВЕННОСТЬ В СООТВЕТСТВИИ С ЗАКОНОДАТЕЛЬСТВОМ РОССИЙСКОЙ ФЕДЕРАЦИИ И УСЛОВИЯМИ КОНТРАКТА.",3
"15.3. BOOKS RECORDS AND AUDIT RIGHTS:",2
"PREAMBLE",2
"8. FORCE MAJEURE",2
"VOLUME I / THE TENDER",2
"ARTICLE 2.",2
"ARTICLE 1. SUBJECT OF THE CONTRACT",2
"ARTICLE 2. CONTRACT PRICE AND PAYMENT CONDITIONS",2
"1.1. THE CONTRACTOR UNDERTAKES TO PERFORM WORKS (HEREINAFTER REFERRED TO AS WORKS) OF DEVELOPING AND DELIVERING A COMPREHENSIVE STUDY ON THE POSSIBILITIES OF FRUIT AND OTHER AGRICULTURAL PRODUCTS' PROCESSING AND MARKETING IN A REFERENCE REGION WITHIN THE SCOPE OF THE PROJECT (APPENDIX 1 TO THIS CONTRACT) AND DELIVERY OF A DETAILED, INSIGHTFUL, AND ACTIONABLE DOCUMENT THAT ADDRESSES THE CURRENT STATE AND FUTURE POTENTIAL OF FRUIT PROCESSING AND MARKETING FOR INTERNATIONAL MARKETS. THE CUSTOMER UNDERTAKES TO ACCEPT AND PAY FOR THE WORK IN ACCORDANCE WITH THE CONTRACT.",2
"2.6. ОПЛАТА ЗА РАБОТЫ ПРОИЗВОДИТСЯ ЗАКАЗЧИКОМ В СЛЕДУЮЩЕМ ПОРЯДКЕ:",2
"2.6. PAYMENT FOR THE WORK IS MADE BY THE CUSTOMER IN THE FOLLOWING ORDER :",2
"8.1. EACH PARTY HEREBY DECLARES AND GUARANTEES TO THE OTHER PARTY THAT:",2
"8.4. В ЦЕЛЯХ НАСТОЯЩЕГО ДОГОВОРА КОНФИДЕНЦИАЛЬНАЯ ИНФОРМАЦИЯ ОЗНАЧАЕТ ЛЮБУЮ ИНФОРМАЦИЮ О СУЩЕСТВОВАНИИ НАСТОЯЩЕГО ДОГОВОРА, ТЕКУЩИХ ПЕРЕГОВОРАХ, СВЯЗАННЫХ С НАСТОЯЩИМ ДОГОВОРОМ, ЛЮБУЮ ИНФОРМАЦИЮ, СОДЕРЖАЩУЮСЯ В ЗАЯВКАХ ЗАКАЗЧИКА И ОТЧЕТАХ ИСПОЛНИТЕЛЯ, ЛЮБУЮ ИНФОРМАЦИЮ О ДЕЛОВОЙ АКТИВНОСТИ И ФИНАНСОВЫХ ДЕЛАХ СТОРОН ИЛИ ЛЮБОГО ИЗ ИХ АФФИЛИРОВАННЫХ ЛИЦ, И ЛЮБУЮ ДРУГУЮ ИНФОРМАЦИЮ, С ГРИФОМ «КОНФИДЕНЦИАЛЬНО» ИЛИ ОБОЗНАЧЕННУЮ ТАКОВОЙ В ПИСЬМЕННОЙ ФОРМЕ ОДНОЙ ИЗ СТОРОН ДРУГОЙ СТОРОНЕ.",2
"8.4. FOR PURPOSES OF THIS CONTRACT, CONFIDENTIAL INFORMATION MEANS ANY INFORMATION ABOUT THE EXISTENCE OF THIS CONTRACT, ONGOING NEGOTIATIONS RELATED TO THIS CONTRACT, ANY INFORMATION CONTAINED IN THE ORDER REQUESTS OF THE PURCHASER AND REPORTS OF THE SUPPLIER, ANY INFORMATION ABOUT BUSINESS ACTIVITIES OR FINANCIAL AFFAIRS OF THE PARTIES, AND ANY OTHER INFORMATION CLASSIFIED AS “CONFIDENTIAL” OR IDENTIFIED IN WRITING AS SUCH BY ONE PARTY TO THE OTHER PARTY.",2
"7. ПРИЛОЖЕНИЯ: / 1. ПРИЛОЖЕНИЕ № 1: ГРАФИК ИСПОЛНЕНИЯ РАБОТ:",2
"7. APPENDIXES:",2
"8. ЮРИДИЧЕСКИЕ АДРЕСА / ЗАКАЗЧИК/CUSTOMER:",2
"4. DELIVERY TERMS",2
"BENEFICIARY ADDRESS: / BENEFICIARY BANK’S NAME:",2
"11. АРБИТРАЖ.",2
"5. DATE AND TIME OF DELIVERY",2
"12. ОТВЕТСТВЕННОСТЬ СТОРОН",2
"1.2. НАИМЕНОВАНИЕ, КОЛИЧЕСТВО, ЦЕНА, КОДЫ ТН ВЭД И СТРАНА ПРОИСХОЖДЕНИЯ ТОВАРОВ УКАЗАНЫ В ПРИЛОЖЕНИИ К НАСТОЯЩЕМУ КОНТРАКТУ.",2
"3.1. THE PAYMENTS UNDER THE PRESENT CONTRACT WILL BE PERFORMED IN USD AS FOLLOWS:",2
"3) QUALITY CERTIFICATE SGS THE ORIGINAL;",2
"ПРИЛОЖЕНИЕ № 2 / ГРАФИК ПОСТАВКИ",2
"SIGNATURES OF THE PARTIES: / ПОДПИСИ СТОРОН:",2
"[«COMPANY »] / «MOSCOW GAS CHEMICAL COMPLEX» LLC",2
"9. РАЗРЕШЕНИЕ СПОРОВ, АРБИТРАЖ",2
"ACCOUNT: BY71PJCB30124100121020000978 / «PRIORBANK» JOINT STOCK COMPANY, MINSK, REPUBLIC OF BELARUS, SWIFT: PJCB BY 2X",2
"«BELINVESTBANK» JOINT STOCK COMPANY, MINSK, REPUBLIC OF BELARUS, / SWIFT: BLBB BY 2X",2
"3.3. THE CONTRACT NUMBER MUST BE PROMINENTLY DISPLAYED ON ALL DOCUMENTS AND FORMS. THIS INCLUDES, BUT IS NOT LIMITED TO: INVOICES, BILLS OF LADING AND PACKING LIST. FAILURE TO DO SO CAN DELAY PAYMENTS TO THE NEXT BILLING PERIOD WITH NO LIABILITY TO THE BUYER.",2
"7. ОТВЕТСТВЕННОСТЬ",2
"4. ОБЯЗАННОСТИ ПОСТАВЩИКА / 4.1. WITHIN 3 (THREE) DAYS FROM THE DATE OF SIGNING THIS CONTRACT, PROVIDE THE PURCHASER WITH AN INVOICE FOR PAYMENT.",2
"4.2. WITHIN 1 (ONE) DAY FROM THE DATE OF SHIPMENT OF THE GOODS, SUBMIT TO THE PURCHASER BY E-MAIL COPIES OF ALL DOCUMENTS SPECIFIED IN CLAUSE 4.6. OF THIS CONTRACT.",2
"4.3. NO LATER THAN 5 (FIVE) WORKING DAYS BEFORE THE DATE OF DELIVERY OF THE GOODS, THE SUPPLIER MUST PROVIDE THE PURCHASER WITH ADVANCE NOTICE OF THE TIME OF ITS DELIVERY TO THE PLACE OF DELIVERY.",2
"5.1. ТОВАРЫ ПОСТАВЛЯЮТСЯ ПОСТАВЩИКОМ НА СЛЕДУЮЩИХ УСЛОВИЯХ:",2
"6.1. ПРИЕМКА ТОВАРОВ ОСУЩЕСТВЛЯЕТСЯ ПОКУПАТЕЛЕМ:",2
"8.2. ПОСТАВЩИК ГАРАНТИРУЕТ, ЧТО ПОСТАВЛЕННЫЕ ТОВАРЫ НЕ ЯВЛЯЮТСЯ КОНТРАФАКТНЫМ. КОНТРАФАКТНЫЕ ТОВАРЫ - МАТЕРИАЛЬНЫЕ НОСИТЕЛИ (ТОВАР, МАТЕРИАЛЬНО-ТЕХНИЧЕСКИЕ РЕСУРСЫ И ДР.):",2
"8.4. ГАРАНТИЙНЫЙ СРОК СОСТАВЛЯЕТ 12 МЕСЯЦЕВ ПОСЛЕ ПОДПИСАНИЯ СТОРОНАМИ АКТА ПРИЁМКИ ПРИ УСЛОВИИ, ЧТО ТОВАРЫ БУДУТ ПРАВИЛЬНО УСТАНОВЛЕНЫ И ПОДДЕРЖАНЫ, А ТАКЖЕ БУДУТ ЭКСПЛУАТИРОВАТЬСЯ В СООТВЕТСТВИИ С НОМИНАЛЬНЫМИ ХАРАКТЕРИСТИКАМИ, ТЕХНИЧЕСКИМИ И ПРОЕКТНЫМИ УСЛОВИЯМИ. НИ ПРИ КАКИХ ОБСТОЯТЕЛЬСТВАХ ПОСТАВЩИК НЕ НЕСЕТ ОТВЕТСТВЕННОСТИ ЗА ТОВАРЫ:",2
"9.3. FOR VIOLATION OF THE DELIVERY TERMS SPECIFIED IN CLAUSE 4.4. OF THIS CONTRACT, THE PURCHASER HAS THE RIGHT TO DEMAND FROM THE SUPPLIER TO PAY A FORFEIT IN THE FORM OF A PENALTY IN THE AMOUNT OF 0.5 % (ZERO POINT FIVE TENTHS OF A PERCENT) OF THE VALUE OF THE NOT DELIVERED GOODS FOR EACH DAY OF DELAY. IN THIS CASE, THE TOTAL AMOUNT OF THE FORFEIT SHOULD NOT EXCEED 50 % (FIFTY PERCENT) OF THE COST OF THE GOODS NOT DELIVERED ON TIME.",2
"9.4. FOR THE SUPPLY OF LOW-QUALITY GOODS OR GOODS THAT DO NOT COMPLY WITH THE APPENDIX TO THIS CONTRACT, THE PURCHASER HAS THE RIGHT TO IMPOSE A FINE ON THE SUPPLIER IN THE AMOUNT OF 20 % (TWENTY PERCENT) OF THEIR VALUE.",2
"9.6. PAYMENT BY THE PARTIES OF PENALTIES, FINES AND / OR COMPENSATION FOR LOSSES PROVIDED FOR BY THIS CONTRACT DOES NOT RELIEVE THE PARTIES FROM FULFILLING THEIR OBLIGATIONS AND OTHER CONDITIONS PROVIDED FOR IN THIS CONTRACT.",2
"11.7. ЕСЛИ ИСПОЛНИТЕЛЬ ПО НАСТОЯЩЕМУ ДОГОВОРУ СТАЛКИВАЕТСЯ С ДЕЙСТВИЯМИ РАБОТНИКОВ ПОКУПАТЕЛЯ, ПРОТИВОРЕЧАЩИМИ АНТИКОРРУПЦИОННЫМ ПОЛОЖЕНИЯМ НАСТОЯЩЕГО ДОГОВОРА И/ИЛИ ПРИМЕНИМОМУ ЗАКОНОДАТЕЛЬСТВУ, В ТОМ ЧИСЛЕ С ФАКТАМИ ПРИНУЖДЕНИЯ К СОВЕРШЕНИЮ КОРРУПЦИОННЫХ НАРУШЕНИЙ, ОН ДОЛЖЕН СООБЩИТЬ ОБ ЭТОМ ПО ОДНОМУ ИЗ СЛЕДУЮЩИХ КАНАЛОВ СВЯЗИ:",2
"12.1. ПОКУПАТЕЛЬ ИМЕЕТ ПРАВО РАСТОРГНУТЬ НАСТОЯЩИЙ КОНТРАКТ ПОЛНОСТЬЮ ИЛИ В ЧАСТИ (ПРИЧЕМ ЗА ЭТО ОН НЕ НЕСЕТ ОТВЕТСТВЕННОСТИ ПЕРЕД ПОСТАВЩИКОМ), ЕСЛИ ПОСТАВЩИК:",2
"15. ЮРИДИЧЕСКИЕ АДРЕСА И БАНКОВСКИЕ РЕКВИЗИТЫ СТОРОН:",2
"1. THE SUBJECT OF THE CONTRACT AND DEFINITIONS / 1.1. THE SELLER SHALL SUPPLY TO THE BUYER THE GOODS, MENTIONED IN THE ATTACHMENT #1 TO THE PRESENT CONTRACT, AND THE BUYER SHALL RECEIVE AND PAY FOR THE GOODS IN ACCORDANCE WITH THE TERMS AND CONDITIONS SET FORTH HEREUNDER.",2
"1.3. LINE ITEM, QUANTITY, TECHNICAL PARAMETERS, ASSORTMENT (IF APPLICABLE), MEASUREMENT, UNIT PRICE, CUSTOMS CODE (CODE HS), QUALITY COMPLIANCE (COMPLIANCE TO ANY INTERNATIONAL QUALITY STANDARDS), NAME OF MANUFACTURER AND THE COUNTRY OF ORIGIN OF THE GOODS SHALL BE SHOWN IN ATTACHMENT #1.",2
"1.5. “FINAL ACCEPTANCE ACT” IS A DOCUMENT WHICH STATES THAT SELLER HAS ACCOMPLISHED DELIVERY OF THE GOODS IN FULL CONFIGURATION AND IN CORRESPONDING QUALITY, ACCORDING TO THE TERMS AND CONDITIONS TO THE PRESENT CONTRACT, AND PERFORMED ASSEMBLY OF COMPONENTS AND COMMISSIONING OF THE GOODS AT BUYER’S PREMISES.",2
"1.6. “ACT OF ACCEPTANCE OF GOODS” IS A DOCUMENT WHICH STATES THAT SELLER HAS ACCOMPLISHED DELIVERY OF THE GOODS IN FULL CONFIGURATION AND IN CORRESPONDING QUALITY, ACCORDING TO THE TERMS AND CONDITIONS TO THE PRESENT CONTRACT.",2
