section_id,title,count
s_10_4_стороны_могут_использовать_конфиденциальную_информацию_только_в_целях_реализации_настоящего_контракта_а_также_обязаны_в_течение_5_пяти_лет_со_дня_подписания_настоящего_контракта_принимать_все_меры_и_использовать_все_законные_средства_для_защиты_конфиденциальной_информации_и_предотвращения_ее_несанкционированного_разглашения,"10.4. СТОРОНЫ МОГУТ ИСПОЛЬЗОВАТЬ КОНФИДЕНЦИАЛЬНУЮ ИНФОРМАЦИЮ ТОЛЬКО В ЦЕЛЯХ РЕАЛИЗАЦИИ НАСТОЯЩЕГО КОНТРАКТА, А ТАКЖЕ ОБЯЗАНЫ В ТЕЧЕНИЕ 5 (ПЯТИ) ЛЕТ СО ДНЯ ПОДПИСАНИЯ НАСТОЯЩЕГО КОНТРАКТА ПРИНИМАТЬ ВСЕ МЕРЫ И ИСПОЛЬЗОВАТЬ ВСЕ ЗАКОННЫЕ СРЕДСТВА ДЛЯ ЗАЩИТЫ КОНФИДЕНЦИАЛЬНОЙ ИНФОРМАЦИИ И ПРЕДОТВРАЩЕНИЯ ЕЕ НЕСАНКЦИОНИРОВАННОГО РАЗГЛАШЕНИЯ.",3
s_11_7_if_the_contractor_under_this_agreement_encounters_the_actions_of_the_purchaser_s_employees_that_are_contrary_to_the_anti_corruption_provisions_of_this_agreement_and_or_applicable_law_including_the_facts_of_coercion_to_commit_corruption_violations_he_must_report_this_through_one_of_the_following_communication_channels,"11.7. IF THE CONTRACTOR UNDER THIS AGREEMENT ENCOUNTERS THE ACTIONS OF THE PURCHASER'S EMPLOYEES THAT ARE CONTRARY TO THE ANTI-CORRUPTION PROVISIONS OF THIS AGREEMENT AND / OR APPLICABLE LAW, INCLUDING THE FACTS OF COERCION TO COMMIT CORRUPTION VIOLATIONS, HE MUST REPORT THIS THROUGH ONE OF THE FOLLOWING COMMUNICATION CHANNELS:",3
s_12_расторжение_контракта_12_1_the_purchaser_has_the_right_to_terminate_this_contract_in_whole_or_in_part_and_for_this_he_is_not_liable_to_the_supplier_if_the_supplier,12. РАСТОРЖЕНИЕ КОНТРАКТА / 12.1. THE PURCHASER HAS THE RIGHT TO TERMINATE THIS CONTRACT IN WHOLE OR IN PART (AND FOR THIS HE IS NOT LIABLE TO THE SUPPLIER) IF THE SUPPLIER:,3
s_12_2_in_case_of_termination_of_the_contract_on_the_initiative_or_fault_of_the_supplier_the_latter_within_5_five_business_days_returns_the_full_amount_of_the_prepayment_to_the_purchaser_and_pays_the_purchaser_a_fine_in_the_amount_of_such_an_amount,"12.2. IN CASE OF TERMINATION OF THE CONTRACT ON THE INITIATIVE OR FAULT OF THE SUPPLIER, THE LATTER, WITHIN 5 (FIVE) BUSINESS DAYS, RETURNS THE FULL AMOUNT OF THE PREPAYMENT TO THE PURCHASER AND PAYS THE PURCHASER A FINE IN THE AMOUNT OF SUCH AN AMOUNT.",3
should_be_filled_in_необходимо_заполнить,[SHOULD BE FILLED IN] / [НЕОБХОДИМО ЗАПОЛНИТЬ],3
условия_оплаты,УСЛОВИЯ ОПЛАТЫ,3
s_4_2_in_addition_to_the_documentation_specified_in_article_4_1_of_the_present_contract_the_seller_shall_provide_the_following_documents_with_shipped_goods,"4.2. IN ADDITION TO THE DOCUMENTATION SPECIFIED IN ARTICLE 4.1 OF THE PRESENT CONTRACT, THE SELLER SHALL PROVIDE THE FOLLOWING DOCUMENTS WITH SHIPPED GOODS:",3
s_4_3_not_submission_of_the_documents_shown_in_the_paragraph_4_2_may_delay_the_payment_to_the_seller_with_no_liability_to_the_buyer,4.3. NOT SUBMISSION OF THE DOCUMENTS SHOWN IN THE PARAGRAPH 4.2 MAY DELAY THE PAYMENT TO THE SELLER WITH NO LIABILITY TO THE BUYER.,3
s_5_the_terms_of_supply_5_1_the_seller_shall_deliver_the_goods_to_the_buyer_not_later_than_the_dates_specified_in_the_attachment_1_the_partial_earlier_shipment_is_permitted_upon_buyer_s_request,"5. THE TERMS OF SUPPLY / 5.1. THE SELLER SHALL DELIVER THE GOODS TO THE BUYER NOT LATER THAN THE DATES SPECIFIED IN THE ATTACHMENT #1. THE PARTIAL EARLIER SHIPMENT IS PERMITTED, UPON BUYER’S REQUEST.",3
s_5_2_within_5_five_working_days_before_shipment_of_each_part_of_the_goods_the_seller_shall_provide_the_buyer_with_prior_notification_of_shipment_terms_and_must_send_to_the_buyer_a_copy_of_the_documents_listed_in_article_4_2_via_e_mail_or_fax,5.2. WITHIN 5 (FIVE) WORKING DAYS BEFORE SHIPMENT OF EACH PART OF THE GOODS THE SELLER SHALL PROVIDE THE BUYER WITH PRIOR NOTIFICATION OF SHIPMENT TERMS AND MUST SEND TO THE BUYER A COPY OF THE DOCUMENTS LISTED IN ARTICLE 4.2 VIA E-MAIL OR FAX.,3
s_5_4_following_shall_be_shown_in_every_batch_of_shipment,5.4. FOLLOWING SHALL BE SHOWN IN EVERY BATCH OF SHIPMENT:,3
s_1_оборудование,1. ОБОРУДОВАНИЕ:,3
приложения,ПРИЛОЖЕНИЯ:,3
s_1_3_качество_товара_должно_соответствовать_требованиям_следующих_нормативных_документов,1.3. КАЧЕСТВО ТОВАРА ДОЛЖНО СООТВЕТСТВОВАТЬ ТРЕБОВАНИЯМ СЛЕДУЮЩИХ НОРМАТИВНЫХ ДОКУМЕНТОВ:,3
s_1_3_the_quality_of_the_goods_must_comply_with_the_requirements_of_gost_28390_89_porcelain_ware_standard_specifications_app_by_the_decree_of_ussr_state_committee_of_produce_quality_control_and_standartization_at_20_12_89_no_3915_1st_quality_category_and_also_gost_r_54394_2011_bone_china_ware_standard_specifications_app_by_the_rosstandart_order_no_275_st_of_12_09_2011_for_bone_china_items_only,"1.3. THE QUALITY OF THE GOODS MUST COMPLY WITH THE REQUIREMENTS OF GOST 28390-89 «PORCELAIN WARE. STANDARD SPECIFICATIONS» APP. BY THE DECREE OF USSR STATE COMMITTEE OF PRODUCE QUALITY CONTROL AND STANDARTIZATION AT 20.12.89 № 3915 (1ST QUALITY CATEGORY) AND ALSO GOST R 54394-2011 «BONE CHINA WARE. STANDARD SPECIFICATIONS», APP. BY THE ROSSTANDART ORDER NO. 275-ST OF 12.09.2011 (FOR BONE CHINA ITEMS ONLY).",3
s_2_2_заявки_на_поставку_товара_подаются_покупателем_до_5_числа_каждого_месяца_заявки_должны_содержать_точный_ассортимент_количество_и_цену_заказываемого_покупателем_товара_должны_быть_подписаны_покупателем_и_скреплены_его_печатью_направление_подписанной_заявки_означает_безусловное_согласие_покупателя_на_принятие_и_оплату_товара_указанного_в_заявке,"2.2. ЗАЯВКИ НА ПОСТАВКУ ТОВАРА ПОДАЮТСЯ ПОКУПАТЕЛЕМ ДО 5 ЧИСЛА КАЖДОГО МЕСЯЦА. ЗАЯВКИ ДОЛЖНЫ СОДЕРЖАТЬ ТОЧНЫЙ АССОРТИМЕНТ, КОЛИЧЕСТВО И ЦЕНУ ЗАКАЗЫВАЕМОГО ПОКУПАТЕЛЕМ ТОВАРА, ДОЛЖНЫ БЫТЬ ПОДПИСАНЫ ПОКУПАТЕЛЕМ И СКРЕПЛЕНЫ ЕГО ПЕЧАТЬЮ. НАПРАВЛЕНИЕ ПОДПИСАННОЙ ЗАЯВКИ ОЗНАЧАЕТ БЕЗУСЛОВНОЕ СОГЛАСИЕ ПОКУПАТЕЛЯ НА ПРИНЯТИЕ И ОПЛАТУ ТОВАРА, УКАЗАННОГО В ЗАЯВКЕ.",3
s_2_2_the_buyer_shall_submit_applications_for_the_supply_of_the_goods_before_the_5th_day_of_each_month_applications_must_contain_the_exact_range_quantity_and_price_of_the_goods_ordered_by_the_buyer_must_be_signed_and_sealed_by_the_buyer_sending_the_signed_application_to_the_seller_means_the_unconditional_consent_of_the_buyer_to_accept_and_pay_for_the_goods_specified_in_the_application,"2.2. THE BUYER SHALL SUBMIT APPLICATIONS FOR THE SUPPLY OF THE GOODS BEFORE THE 5TH DAY OF EACH MONTH. APPLICATIONS MUST CONTAIN THE EXACT RANGE, QUANTITY AND PRICE OF THE GOODS ORDERED BY THE BUYER, MUST BE SIGNED AND SEALED BY THE BUYER. SENDING THE SIGNED APPLICATION TO THE SELLER MEANS THE UNCONDITIONAL CONSENT OF THE BUYER TO ACCEPT AND PAY FOR THE GOODS SPECIFIED IN THE APPLICATION.",3
s_2_3_если_иное_не_будет_согласовано_сторонами_в_спецификации_срок_изготовления_и_передачи_товара_определяется_в_соответствии_с_преамбулой_и_исчисляется_с_момента_подписания_спецификации_при_этом_условием_отгрузки_товара_является_оплата_покупателем_товара,"2.3. ЕСЛИ ИНОЕ НЕ БУДЕТ СОГЛАСОВАНО СТОРОНАМИ В СПЕЦИФИКАЦИИ, СРОК ИЗГОТОВЛЕНИЯ И ПЕРЕДАЧИ ТОВАРА ОПРЕДЕЛЯЕТСЯ В СООТВЕТСТВИИ С ПРЕАМБУЛОЙ И ИСЧИСЛЯЕТСЯ С МОМЕНТА ПОДПИСАНИЯ СПЕЦИФИКАЦИИ. ПРИ ЭТОМ УСЛОВИЕМ ОТГРУЗКИ ТОВАРА ЯВЛЯЕТСЯ ОПЛАТА ПОКУПАТЕЛЕМ ТОВАРА.",3
s_2_3_unless_otherwise_agreed_by_the_parties_in_the_specification_the_term_of_production_and_delivery_of_the_goods_shall_be_determined_in_accordance_with_the_preamble_and_shall_be_calculated_from_the_date_of_signing_the_specifications_in_this_case_the_condition_for_the_shipment_of_the_goods_shall_be_the_payment_of_the_goods_by_the_buyer,"2.3. UNLESS OTHERWISE AGREED BY THE PARTIES IN THE SPECIFICATION, THE TERM OF PRODUCTION AND DELIVERY OF THE GOODS SHALL BE DETERMINED IN ACCORDANCE WITH THE PREAMBLE AND SHALL BE CALCULATED FROM THE DATE OF SIGNING THE SPECIFICATIONS. IN THIS CASE, THE CONDITION FOR THE SHIPMENT OF THE GOODS SHALL BE THE PAYMENT OF THE GOODS BY THE BUYER.",3
s_2_4_the_seller_shall_inform_the_buyer_about_the_readiness_of_the_goods_for_shipment_by_sending_an_official_notice_in_electronic_form_attaching_an_invoice,2.4. THE SELLER SHALL INFORM THE BUYER ABOUT THE READINESS OF THE GOODS FOR SHIPMENT BY SENDING AN OFFICIAL NOTICE IN ELECTRONIC FORM ATTACHING AN INVOICE.,3
s_2_7_продавец_имеет_право_изменить_прайс_лист_уведомив_о_вступлении_в_силу_новых_цен_покупателя_за_14_четырнадцать_календарных_дней_в_том_числе_в_связи_с,"2.7. ПРОДАВЕЦ ИМЕЕТ ПРАВО ИЗМЕНИТЬ ПРАЙС-ЛИСТ, УВЕДОМИВ О ВСТУПЛЕНИИ В СИЛУ НОВЫХ ЦЕН ПОКУПАТЕЛЯ ЗА 14 (ЧЕТЫРНАДЦАТЬ) КАЛЕНДАРНЫХ ДНЕЙ В ТОМ ЧИСЛЕ В СВЯЗИ С:",3
s_2_7_the_seller_shall_have_the_right_to_change_the_price_list_by_notifying_the_buyer_of_the_new_prices_coming_into_force_within_14_fourteen_calendar_days_including_in_connection_with,"2.7. THE SELLER SHALL HAVE THE RIGHT TO CHANGE THE PRICE LIST BY NOTIFYING THE BUYER OF THE NEW PRICES COMING INTO FORCE WITHIN 14 (FOURTEEN) CALENDAR DAYS, INCLUDING IN CONNECTION WITH:",3
s_3_1_цена_товара_определяется_сторонами_в_спецификации_цена_товара_является_твердой_и_указывается_с_учетом_предоставления_клиенту_всех_скидок_клиент_ни_при_каких_обстоятельствах_не_вправе_требовать_снижения_цены_товара_указанной_в_подписанной_сторонами_спецификации,"3.1.	ЦЕНА ТОВАРА ОПРЕДЕЛЯЕТСЯ СТОРОНАМИ В СПЕЦИФИКАЦИИ. ЦЕНА ТОВАРА ЯВЛЯЕТСЯ ТВЕРДОЙ И УКАЗЫВАЕТСЯ С УЧЕТОМ ПРЕДОСТАВЛЕНИЯ КЛИЕНТУ ВСЕХ СКИДОК. КЛИЕНТ НИ ПРИ КАКИХ ОБСТОЯТЕЛЬСТВАХ НЕ ВПРАВЕ ТРЕБОВАТЬ СНИЖЕНИЯ ЦЕНЫ ТОВАРА, УКАЗАННОЙ В ПОДПИСАННОЙ СТОРОНАМИ СПЕЦИФИКАЦИИ.",3
s_4_1_на_каждую_отгружаемую_партию_товара_продавец_предоставляет_покупателю_следующие_документы,"4.1. НА КАЖДУЮ ОТГРУЖАЕМУЮ ПАРТИЮ ТОВАРА, ПРОДАВЕЦ ПРЕДОСТАВЛЯЕТ ПОКУПАТЕЛЮ СЛЕДУЮЩИЕ ДОКУМЕНТЫ:",3
s_4_1_for_each_consignment_of_goods_to_be_shipped_the_seller_provides_the_buyer_with_the_following_documents,"4.1. FOR EACH CONSIGNMENT OF GOODS TO BE SHIPPED, THE SELLER PROVIDES THE BUYER WITH THE FOLLOWING DOCUMENTS:",3
s_5_1_the_transfer_of_the_damage_risk_and_the_risk_of_accidental_loss_of_the_goods_occurs_in_accordance_with_the_incoterms_2010_rules_with_regard_to_the_conditions_basis_of_delivery_agreed_in_the_preamble_to_the_contract_unless_otherwise_agreed_by_the_parties,"5.1. THE TRANSFER OF THE DAMAGE RISK AND THE RISK OF ACCIDENTAL LOSS OF THE GOODS OCCURS IN ACCORDANCE WITH THE INCOTERMS 2010 RULES, WITH REGARD TO THE CONDITIONS (BASIS) OF DELIVERY AGREED IN THE PREAMBLE TO THE CONTRACT, UNLESS OTHERWISE AGREED BY THE PARTIES.",3
s_7_2_the_parties_have_agreed_on_an_acceptable_defect_and_breakage_for_a_consignment_of_the_goods_which_are_not_subject_to_replacement_or_other_compensation_by_the_seller,"7.2. THE PARTIES HAVE AGREED ON AN ACCEPTABLE DEFECT AND BREAKAGE FOR A CONSIGNMENT OF THE GOODS, WHICH ARE NOT SUBJECT TO REPLACEMENT OR OTHER COMPENSATION BY THE SELLER.",3
s_7_7_в_случае_признания_продавцом_обоснованности_претензии_покупателя_продавец_в_течение_30_тридцати_календарных_дней_обязан_произвести_действия_по_удовлетворению_претензии_покупателя_одним_из_следующих_способов,"7.7. В СЛУЧАЕ ПРИЗНАНИЯ ПРОДАВЦОМ ОБОСНОВАННОСТИ ПРЕТЕНЗИИ ПОКУПАТЕЛЯ, ПРОДАВЕЦ В ТЕЧЕНИЕ 30 (ТРИДЦАТИ) КАЛЕНДАРНЫХ ДНЕЙ ОБЯЗАН ПРОИЗВЕСТИ ДЕЙСТВИЯ ПО УДОВЛЕТВОРЕНИЮ ПРЕТЕНЗИИ ПОКУПАТЕЛЯ ОДНИМ ИЗ СЛЕДУЮЩИХ СПОСОБОВ:",3
s_7_7_in_case_the_seller_acknowledges_the_validity_of_the_buyer_s_claim_the_seller_shall_within_30_thirty_calendar_days_perform_actions_to_satisfy_the_buyer_s_claim_by_one_of_the_following_ways,"7.7. IN CASE THE SELLER ACKNOWLEDGES THE VALIDITY OF THE BUYER'S CLAIM, THE SELLER SHALL, WITHIN 30 (THIRTY) CALENDAR DAYS, PERFORM ACTIONS TO SATISFY THE BUYER'S CLAIM BY ONE OF THE FOLLOWING WAYS:",3
s_7_8_несоответствие_товара_по_количеству_бою_качеству_и_ассортименту_в_объеме_более_чем_на_5_от_согласованного_количества_товара_в_обязательном_порядке_подтверждается_актом_либо_иным_документом_торгово_промышленной_палаты_тпп_государства_покупателя,"7.8. НЕСООТВЕТСТВИЕ ТОВАРА ПО КОЛИЧЕСТВУ, БОЮ, КАЧЕСТВУ И АССОРТИМЕНТУ В ОБЪЕМЕ БОЛЕЕ ЧЕМ НА 5% ОТ СОГЛАСОВАННОГО КОЛИЧЕСТВА ТОВАРА, В ОБЯЗАТЕЛЬНОМ ПОРЯДКЕ ПОДТВЕРЖДАЕТСЯ АКТОМ, ЛИБО ИНЫМ ДОКУМЕНТОМ ТОРГОВО-ПРОМЫШЛЕННОЙ ПАЛАТЫ (ТПП) ГОСУДАРСТВА ПОКУПАТЕЛЯ.",3
s_7_8_the_lack_of_conformity_of_the_goods_in_quantity_breakage_quality_and_range_in_the_amount_of_more_than_5_of_the_agreed_quantity_of_the_goods_shall_be_necessarily_confirmed_by_an_act_or_other_document_of_the_chamber_of_commerce_and_industry_of_the_buyer_s_state,"7.8. THE LACK OF CONFORMITY OF THE GOODS IN QUANTITY, BREAKAGE, QUALITY AND RANGE IN THE AMOUNT OF MORE THAN 5% OF THE AGREED QUANTITY OF THE GOODS SHALL BE NECESSARILY CONFIRMED BY AN ACT OR OTHER DOCUMENT OF THE CHAMBER OF COMMERCE AND INDUSTRY OF THE BUYER'S STATE.",3
s_10_2_стороны_признают_юридическую_силу_следующих_документов_отправленных_посредством_электронной_почты_с_согласованных_сторонами_адресов_далее_электронный_документ,"10.2.	СТОРОНЫ ПРИЗНАЮТ ЮРИДИЧЕСКУЮ СИЛУ СЛЕДУЮЩИХ ДОКУМЕНТОВ, ОТПРАВЛЕННЫХ ПОСРЕДСТВОМ ЭЛЕКТРОННОЙ ПОЧТЫ С СОГЛАСОВАННЫХ СТОРОНАМИ АДРЕСОВ (ДАЛЕЕ – «ЭЛЕКТРОННЫЙ ДОКУМЕНТ»):",3
s_10_2_the_parties_acknowledge_legal_force_of_the_following_documents_sent_from_e_mail_addresses_agreed_upon_by_the_parties_hereinafter_referred_to_as_the_electronic_document,"10.2. THE PARTIES ACKNOWLEDGE LEGAL FORCE OF THE FOLLOWING DOCUMENTS SENT FROM E-MAIL ADDRESSES AGREED UPON BY THE PARTIES (HEREINAFTER REFERRED TO AS THE ""ELECTRONIC DOCUMENT""):",3
s_3_2_поставщик_вправе,3.2. ПОСТАВЩИК ВПРАВЕ:,3
s_3_4_заказчик_вправе,3.4. ЗАКАЗЧИК ВПРАВЕ:,3
приложение_no_3_к_контракту,ПРИЛОЖЕНИЕ № 3 К КОНТРАКТУ,3
s_12_6_стороны_обязуются_обеспечить_конфиденциальность_сведений_относящихся_к_предмету_контракта_и_ставших_им_известными_в_ходе_исполнения_контракта,"12.6. СТОРОНЫ ОБЯЗУЮТСЯ ОБЕСПЕЧИТЬ КОНФИДЕНЦИАЛЬНОСТЬ СВЕДЕНИЙ, ОТНОСЯЩИХСЯ К ПРЕДМЕТУ КОНТРАКТА, И СТАВШИХ ИМ ИЗВЕСТНЫМИ В ХОДЕ ИСПОЛНЕНИЯ КОНТРАКТА.",3
s_6_1_за_неисполнение_или_ненадлежащее_исполнение_контракта_стороны_несут_ответственность_в_соответствии_с_законодательством_российской_федерации_и_условиями_контракта,6.1. ЗА НЕИСПОЛНЕНИЕ ИЛИ НЕНАДЛЕЖАЩЕЕ ИСПОЛНЕНИЕ КОНТРАКТА СТОРОНЫ НЕСУТ ОТВЕТСТВЕННОСТЬ В СООТВЕТСТВИИ С ЗАКОНОДАТЕЛЬСТВОМ РОССИЙСКОЙ ФЕДЕРАЦИИ И УСЛОВИЯМИ КОНТРАКТА.,3
s_15_3_books_records_and_audit_rights,15.3. BOOKS RECORDS AND AUDIT RIGHTS:,2
preamble,PREAMBLE,2
s_8_force_majeure,8. FORCE MAJEURE,2
volume_i_the_tender,VOLUME I / THE TENDER,2
article_2,ARTICLE 2.,2
article_1_subject_of_the_contract,ARTICLE 1. SUBJECT OF THE CONTRACT,2
article_2_contract_price_and_payment_conditions,ARTICLE 2. CONTRACT PRICE AND PAYMENT CONDITIONS,2
s_1_1_the_contractor_undertakes_to_perform_works_hereinafter_referred_to_as_works_of_developing_and_delivering_a_comprehensive_study_on_the_possibilities_of_fruit_and_other_agricultural_products_processing_and_marketing_in_a_reference_region_within_the_scope_of_the_project_appendix_1_to_this_contract_and_delivery_of_a_detailed_insightful_and_actionable_document_that_addresses_the_current_state_and_future_potential_of_fruit_processing_and_marketing_for_international_markets_the_customer_undertakes_to_accept_and_pay_for_the_work_in_accordance_with_the_contract,"1.1. THE CONTRACTOR UNDERTAKES TO PERFORM WORKS (HEREINAFTER REFERRED TO AS WORKS) OF DEVELOPING AND DELIVERING A COMPREHENSIVE STUDY ON THE POSSIBILITIES OF FRUIT AND OTHER AGRICULTURAL PRODUCTS' PROCESSING AND MARKETING IN A REFERENCE REGION WITHIN THE SCOPE OF THE PROJECT (APPENDIX 1 TO THIS CONTRACT) AND DELIVERY OF A DETAILED, INSIGHTFUL, AND ACTIONABLE DOCUMENT THAT ADDRESSES THE CURRENT STATE AND FUTURE POTENTIAL OF FRUIT PROCESSING AND MARKETING FOR INTERNATIONAL MARKETS. THE CUSTOMER UNDERTAKES TO ACCEPT AND PAY FOR THE WORK IN ACCORDANCE WITH THE CONTRACT.",2
s_2_6_оплата_за_работы_производится_заказчиком_в_следующем_порядке,2.6. ОПЛАТА ЗА РАБОТЫ ПРОИЗВОДИТСЯ ЗАКАЗЧИКОМ В СЛЕДУЮЩЕМ ПОРЯДКЕ:,2
s_2_6_payment_for_the_work_is_made_by_the_customer_in_the_following_order,2.6. PAYMENT FOR THE WORK IS MADE BY THE CUSTOMER IN THE FOLLOWING ORDER :,2
s_8_1_each_party_hereby_declares_and_guarantees_to_the_other_party_that,8.1. EACH PARTY HEREBY DECLARES AND GUARANTEES TO THE OTHER PARTY THAT:,2
