contract_id;source;status;segments_count;error
Двуязычный контракт с Канадой__headings_fixed;docx;ok;21;
Двуязычный контракт с Францией__headings_fixed;docx;ok;27;
Двуязычный контракт фарфоровый завод__headings_fixed;docx;ok;38;
Двуязычный контракт__headings_fixed;docx;ok;27;
Двуязычный образец внешнеторгового контракта__headings_fixed;docx;ok;23;
Договор купли-продажи пиломатериалов__headings_fixed;docx;ok;16;
Договор поставки  оборудования __headings_fixed;docx;ok;13;
Договор поставки Гузар__headings_fixed;docx;ok;58;
Договор поставки Литейное дело__headings_fixed;docx;ok;27;
Договор поставки МТУ Сатурн__headings_fixed;docx;ok;29;
Договор поставки Стройнефтегаз__headings_fixed;docx;ok;11;
Договор поставки Тахион__headings_fixed;docx;ok;13;
Договор поставки оборудования Детский мир__headings_fixed;docx;ok;14;
Договор поставки оборудования__headings_fixed;docx;ok;16;
Договор продажа ледогенераторов__headings_fixed;docx;ok;8;
Договор-поставки-для-Республики-Беларусь-юр.лица__headings_fixed;docx;ok;12;
Контракт Минск__headings_fixed;docx;ok;22;
Контракт Москва-Минск__headings_fixed;docx;ok;9;
Контракт для нерезидентов__headings_fixed;docx;ok;22;
Контракт на выполнение работ__headings_fixed;docx;ok;70;
Контракт на нефтепродукты__headings_fixed;docx;ok;15;
Контракт на поставку звукового оборудования__headings_fixed;docx;ok;11;
Контракт на поставку лекартств__headings_fixed;docx;ok;12;
Контракт на поставку оборудования для школьного «Кванториума»__headings_fixed;docx;ok;14;
Контракт на поставку оборудования__headings_fixed;docx;ok;15;
Контракт на поставку планшетных компьютеров__headings_fixed;docx;ok;43;
Контракт на поставку товара ЕвразЭС__headings_fixed;docx;ok;12;
Контракт на поставку товара из КНР__headings_fixed;docx;ok;5;
ОФЕРТА О ЗАКЛЮЧЕНИИ ДОГОВОРА ПОСТАВКИ ОБОРУДОВАНИЯ__headings_fixed;docx;ok;13;
Общие положения договора__headings_fixed;docx;ok;18;
ПРОЕКТ контракта Рудня__headings_fixed;docx;ok;50;
Поставка оборудования бу__headings_fixed;docx;ok;16;
Проект Контракта на поставку товара__headings_fixed;docx;ok;26;
Проект контракта Коряжма__headings_fixed;docx;ok;21;
Проект контракта на выполнение работ__headings_fixed;docx;ok;31;
Проект контракта на поставку изделий медицинского назначения __headings_fixed;docx;ok;40;
Проект контракта на поставку лекарств__headings_fixed;docx;ok;51;
Проект контракта на ремонт дороги__headings_fixed;docx;ok;69;
Проект контракта поставки__headings_fixed;docx;ok;13;
Проект_контракта на поставку офисной техники__headings_fixed;docx;ok;11;
Типовая форма договора поставки оборудования  (2)__headings_fixed;docx;ok;14;
Типовая форма договора поставки оборудования __headings_fixed;docx;ok;7;
Форма договора (ШМР, ПНР)__headings_fixed;docx;ok;7;
